speed_mbps,utils,index
25,0.1,2
50,0.1157625,3
75,0.140710042,4
100,0.179585633,5
125,0.240661923,6
150,0.338635494,7
175,0.500318854,8
200,0.621581374,9
225,0.712528264,10
250,0.780738432,11
275,0.831896058,12
300,0.870264277,13
325,0.899040441,14
350,0.920622565,15
375,0.936809157,16
400,0.948949101,17
425,0.95805406,18
450,0.964882778,19
475,0.970004317,20
500,0.973845472,21
525,0.976726337,22
550,0.978886987,23
575,0.980507474,24
600,0.981722839,25
625,0.982634363,26
650,0.983318006,27
675,0.983830738,28
700,0.984215287,29
725,0.984503699,30
750,0.984720008,31
775,0.98488224,32
800,0.985003913,33
825,0.985095169,34
850,0.98516361,35
875,0.985214941,36
900,0.98525344,37
925,0.985282313,38
950,0.985303969,39
975,0.98532021,40
1000,0.985332391,41
